ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE1108,2025-09-11,35.70237,40.48590087890625,2025-09-01
VE1109,2025-09-11,10.090469,19.316320419311523,2025-09-01
VE1110,2025-09-11,21.643148,34.18612289428711,2025-09-01
VE1111,2025-09-11,32.68026,36.792015075683594,2025-09-01
VE1112,2025-09-11,13.03931,19.17232322692871,2025-09-01
VE1113,2025-09-11,41.764957,43.03164291381836,2025-09-01
VE1114,2025-09-11,18.373554,21.21164321899414,2025-09-01
VE1115,2025-09-11,40.30629,37.330078125,2025-09-01
VE1116,2025-09-11,43.157406,43.34687423706055,2025-09-01
VE1117,2025-09-11,25.935886,33.385047912597656,2025-09-01
VE1118,2025-09-11,17.576382,25.703676223754883,2025-09-01
VE1119,2025-09-11,42.56003,37.13056182861328,2025-09-01
VE1120,2025-09-11,40.850647,37.158355712890625,2025-09-01
VE1121,2025-09-11,22.241226,34.5339469909668,2025-09-01
VE1122,2025-09-11,17.368979,21.214622497558594,2025-09-01
VE1123,2025-09-11,30.591827,35.71671676635742,2025-09-01
VE1124,2025-09-11,29.885414,39.76072311401367,2025-09-01
VE1125,2025-09-11,20.174904,28.80636215209961,2025-09-01
VE12,2025-09-11,49.439598,47.63182067871094,2025-09-01
VE1201,2025-09-11,65.00889,51.51119613647461,2025-09-01
VE1202,2025-09-11,43.226006,37.043670654296875,2025-09-01
VE1203,2025-09-11,48.626938,40.982261657714844,2025-09-01
VE1204,2025-09-11,73.536964,53.709327697753906,2025-09-01
VE1205,2025-09-11,49.21041,43.544532775878906,2025-09-01
VE1206,2025-09-11,52.60585,49.026004791259766,2025-09-01
VE1207,2025-09-11,47.329742,45.36884307861328,2025-09-01
VE1208,2025-09-11,54.88824,52.65886688232422,2025-09-01
VE1209,2025-09-11,43.668163,37.83049774169922,2025-09-01
VE1210,2025-09-11,47.88678,48.76084518432617,2025-09-01
VE1211,2025-09-11,44.361748,37.86232376098633,2025-09-01
VE1212,2025-09-11,44.651024,44.778812408447266,2025-09-01
VE1213,2025-09-11,42.423702,38.852291107177734,2025-09-01
VE1214,2025-09-11,47.751736,40.139923095703125,2025-09-01
VE1215,2025-09-11,45.58315,37.44480514526367,2025-09-01
VE13,2025-09-11,33.30913,40.594364166259766,2025-09-01
VE1301,2025-09-11,41.715633,41.953678131103516,2025-09-01
VE1302,2025-09-11,32.482605,34.52092361450195,2025-09-01
VE1303,2025-09-11,23.657354,34.66246795654297,2025-09-01
VE1304,2025-09-11,23.84786,35.68417739868164,2025-09-01
VE1305,2025-09-11,36.265038,40.81617736816406,2025-09-01
VE1306,2025-09-11,38.697063,41.163307189941406,2025-09-01
VE1307,2025-09-11,41.698566,42.23574447631836,2025-09-01
VE1308,2025-09-11,37.937084,42.4777717590332,2025-09-01
VE1309,2025-09-11,24.781702,34.11324691772461,2025-09-01
VE14,2025-09-11,42.520386,46.554569244384766,2025-09-01
VE1401,2025-09-11,49.443596,62.337364196777344,2025-09-01
VE1402,2025-09-11,47.256653,52.051509857177734,2025-09-01
VE1403,2025-09-11,36.35489,44.502166748046875,2025-09-01
VE1404,2025-09-11,51.263382,56.187374114990234,2025-09-01
VE1405,2025-09-11,47.5875,53.87290573120117,2025-09-01
VE1406,2025-09-11,41.32561,44.35866165161133,2025-09-01
VE1407,2025-09-11,47.41514,61.20537567138672,2025-09-01
VE1408,2025-09-11,44.346394,47.30297088623047,2025-09-01
VE1409,2025-09-11,40.59153,40.02561569213867,2025-09-01
VE1410,2025-09-11,39.060993,48.44089126586914,2025-09-01
VE1411,2025-09-11,40.12728,50.988407135009766,2025-09-01
VE1412,2025-09-11,46.5308,50.88603973388672,2025-09-01
VE1413,2025-09-11,36.526936,42.85633087158203,2025-09-01
VE1414,2025-09-11,47.310513,58.765079498291016,2025-09-01
VE1415,2025-09-11,68.83066,70.14452362060547,2025-09-01
VE1416,2025-09-11,36.78486,41.733036041259766,2025-09-01
VE1417,2025-09-11,41.553345,45.14622497558594,2025-09-01
VE1418,2025-09-11,28.717924,40.98198699951172,2025-09-01
VE1419,2025-09-11,52.325462,63.56244659423828,2025-09-01
VE1420,2025-09-11,34.7281,42.12887191772461,2025-09-01
VE1421,2025-09-11,31.039762,42.294437408447266,2025-09-01
VE1422,2025-09-11,41.978607,57.36393737792969,2025-09-01
VE1423,2025-09-11,39.311745,56.43974304199219,2025-09-01
VE15,2025-09-11,42.58992,39.31443786621094,2025-09-01
VE1501,2025-09-11,47.843204,44.4720458984375,2025-09-01
VE1502,2025-09-11,44.164368,38.46866989135742,2025-09-01
VE1503,2025-09-11,36.551426,36.61343002319336,2025-09-01
VE1504,2025-09-11,40.16537,37.697120666503906,2025-09-01
VE1505,2025-09-11,42.740902,40.047828674316406,2025-09-01
VE1506,2025-09-11,40.358326,39.19468688964844,2025-09-01
VE1508,2025-09-11,40.008842,37.038272857666016,2025-09-01
VE1509,2025-09-11,39.44385,36.875301361083984,2025-09-01
VE1510,2025-09-11,41.354263,39.28125,2025-09-01
VE1511,2025-09-11,45.201553,39.34418487548828,2025-09-01
VE1512,2025-09-11,44.02779,39.301856994628906,2025-09-01
VE1513,2025-09-11,37.2126,36.91263961791992,2025-09-01
VE1514,2025-09-11,43.999634,37.51930618286133,2025-09-01
VE1515,2025-09-11,40.156696,37.07061767578125,2025-09-01
VE1516,2025-09-11,42.011536,37.11574172973633,2025-09-01
VE1517,2025-09-11,40.046562,36.9477424621582,2025-09-01
VE1518,2025-09-11,42.44575,39.27627944946289,2025-09-01
VE1519,2025-09-11,39.19891,36.733280181884766,2025-09-01
VE1520,2025-09-11,43.235992,40.365966796875,2025-09-01
VE1521,2025-09-11,39.312393,36.88783645629883,2025-09-01
VE16,2025-09-11,47.56582,41.47924041748047,2025-09-01
VE1601,2025-09-11,46.06996,37.089237213134766,2025-09-01
VE1602,2025-09-11,44.698242,36.06711196899414,2025-09-01
VE1603,2025-09-11,50.849438,49.00486373901367,2025-09-01
VE1604,2025-09-11,46.841522,41.57249069213867,2025-09-01
VE1605,2025-09-11,43.88258,35.48157501220703,2025-09-01
VE1606,2025-09-11,44.834038,35.1880989074707,2025-09-01
VE1607,2025-09-11,47.086994,41.92357635498047,2025-09-01
VE1608,2025-09-11,48.695225,44.03961181640625,2025-09-01
VE1609,2025-09-11,46.547195,38.732540130615234,2025-09-01
VE1610,2025-09-11,48.396336,47.87814712524414,2025-09-01
VE1611,2025-09-11,45.50651,35.46542739868164,2025-09-01
VE1612,2025-09-11,47.346645,43.6922492980957,2025-09-01
VE1613,2025-09-11,47.49918,46.308868408203125,2025-09-01
VE17,2025-09-11,20.038801,17.649614334106445,2025-09-01
VE1701,2025-09-11,20.571228,18.147192001342773,2025-09-01
VE1702,2025-09-11,22.23687,26.900188446044922,2025-09-01
VE1703,2025-09-11,19.750263,18.2729549407959,2025-09-01
VE1704,2025-09-11,20.224888,17.899263381958008,2025-09-01
VE1705,2025-09-11,18.830423,17.47142219543457,2025-09-01
VE1706,2025-09-11,20.835894,18.066165924072266,2025-09-01
VE1707,2025-09-11,20.410576,17.737154006958008,2025-09-01
VE1708,2025-09-11,20.269215,18.87027359008789,2025-09-01
VE1709,2025-09-11,20.101479,17.586214065551758,2025-09-01
VE1710,2025-09-11,19.164701,17.72341537475586,2025-09-01
VE1711,2025-09-11,20.124659,21.147274017333984,2025-09-01
VE18,2025-09-11,56.875847,52.59060287475586,2025-09-01
VE1801,2025-09-11,45.349155,46.93438720703125,2025-09-01
VE1802,2025-09-11,49.084904,50.662391662597656,2025-09-01
VE1803,2025-09-11,56.707664,51.11210250854492,2025-09-01
VE1804,2025-09-11,59.848255,62.508872985839844,2025-09-01
VE1805,2025-09-11,61.648636,58.52424621582031,2025-09-01
VE1806,2025-09-11,50.495583,54.45816421508789,2025-09-01
VE1807,2025-09-11,56.597282,53.045589447021484,2025-09-01
VE1808,2025-09-11,51.045536,49.03764724731445,2025-09-01
VE1809,2025-09-11,57.684048,52.499244689941406,2025-09-01
VE1810,2025-09-11,59.05589,56.48115921020508,2025-09-01
VE1811,2025-09-11,46.800606,47.41207504272461,2025-09-01
VE1812,2025-09-11,63.582108,58.07487869262695,2025-09-01
VE1813,2025-09-11,65.38235,66.79802703857422,2025-09-01
VE1814,2025-09-11,54.802097,51.11873245239258,2025-09-01
VE19,2025-09-11,45.903458,41.6347770690918,2025-09-01
VE1901,2025-09-11,45.767994,40.80937957763672,2025-09-01
VE1902,2025-09-11,43.098724,37.21895980834961,2025-09-01
VE1903,2025-09-11,46.383526,45.11577224731445,2025-09-01
VE1904,2025-09-11,49.780315,49.53345489501953,2025-09-01
VE1905,2025-09-11,40.084175,38.06130599975586,2025-09-01
VE1906,2025-09-11,45.718967,36.00923538208008,2025-09-01
VE1907,2025-09-11,45.013405,43.11302947998047,2025-09-01
VE1908,2025-09-11,42.240345,38.33684539794922,2025-09-01
VE1909,2025-09-11,45.94207,46.951744079589844,2025-09-01
VE1910,2025-09-11,47.55158,47.24805450439453,2025-09-01
VE1911,2025-09-11,44.41034,36.91857147216797,2025-09-01
VE1912,2025-09-11,52.284885,43.974266052246094,2025-09-01
VE1913,2025-09-11,44.11193,35.622127532958984,2025-09-01
VE1914,2025-09-11,49.50466,41.93688201904297,2025-09-01
VE1915,2025-09-11,45.901028,46.4364128112793,2025-09-01
VE20,2025-09-11,56.081806,59.7125244140625,2025-09-01
VE2001,2025-09-11,36.6172,43.797306060791016,2025-09-01
VE2002,2025-09-11,65.383194,76.34119415283203,2025-09-01
VE2003,2025-09-11,55.246872,59.867618560791016,2025-09-01
